Titre article,Auteur,Date publication,Catégorie,Contenu,Source,Url
Russian air attacks kill five at Ukraine’s Naftogaz gas facilities,By Al Jazeera Staff and Reuters,Published On 5 May 20265 May 2026,News,"Three workers and two emergency service rescuers ​killed and 37 others wounded, Naftogaz CEO Serhiy ​Koretskyi says. At least five people have been killed in Russian air strikes on Ukrainian state-run gas facilities in the Poltava and Kharkiv regions, officials said, a day after Kyiv and Moscow announced unilateral ceasefires to take effect later this week. Three employees and two rescue workers were killed and 37 people were wounded in the overnight missile and drone barrage, Serhiy Koretskyi, the CEO of Ukraine’s state energy company Naftogaz said on Tuesday. “We have sustained significant damage and production losses. This was a combined strike involving UAVs (unmanned aerial vehicles) and ballistic missiles,” said Koretskyi. He added that the attack cut gas supply to nearly 3,500 customers. Ukrainian President Volodymyr Zelenskyy said Russian authorities had shown “utter cynicism” by announcing a ceasefire and then launching missile and drone attacks on his country. “Russia could cease fire at any moment, and this would stop the war and our responses. Peace is needed, and real steps are needed to achieve it. Ukraine will act in kind,” he said on X. A day earlier, Russian President Vladimir Putin declared a two-day ceasefire in the war with Ukraine on May 8 and 9 to mark Russia’s World War II victory. Zelenskyy countered with his proposed pause in fighting starting on the night of May 5. Ukraine’s air force said Russia had launched 11 ballistic missiles and 164 drones at the country since 6pm (15:00 GMT) on Monday. One missile and 149 drones were shot down or neutralised, it said, but eight missiles and 14 drones struck 14 locations. Reporting from Kyiv, Al Jazeera’s Audrey Macalpine said Russian missile attacks were posing a challenge for Ukraine. “Ukraine has become accustomed to intercepting drones regularly, but it still lacks sufficient means to intercept, especially ballistic missiles, which is why you hear Ukrainian President Volodymyr Zelenskyy so often pleading with his European partners for more air defence, for things like Patriots, because they are the only weapons that are capable of intercepting ballistic threats,” she said. Meanwhile, Ukraine attacked one of Russia’s biggest oil refineries on Tuesday, sparking a fire in an industrial area of the Russian town of Kirishi in the Leningrad region, Governor Alexander Drozdenko said. “The enemy’s main target was the [Kirishinefteorgsintez] oil refinery,” Drozdenko said, adding that there were no casualties as a result of the attack. The fire was contained, and firefighting operations were nearing completion, he said. According to industry sources, the Kirishinefteorgsintez oil refinery, one of the largest in the country, processed 17.5 million metric tonnes of oil (350,000 barrels per day) in 2024, which amounted to 6.6 percent of Russia’s total oil refining volumes. It produced 2 million tonnes of petrol, 7.1 million tonnes of diesel, 6.1 million tonnes of fuel oil and 600,000 tonnes of bitumen. The Russian Ministry of Defence said its air defence forces destroyed 289 Ukrainian drones over Russian regions overnight. Follow Al Jazeera English:",Al Jazeera,https://www.aljazeera.com/news/2026/5/5/russian-attack-kills-five-at-ukraines-naftogaz-gas-facility
What is the Ukrainian anti-drone system Sky Map being used in the Gulf?,By AJLabs and Reuters,Published On 4 May 20264 May 2026,News,"Ukraine’s battle-tested system uses thousands of acoustic sensors and interceptors to find and destroy incoming drones. Cheap, mass-produced one-way drones have played a major role in the conflict between the United States, Israel and Iran since the first attacks on Tehran on February 28. As Iran uses these drones to target energy facilities, airbases and other strategic sites across the Gulf and Israel, the US and Israel use expensive interceptor missiles for defence. To counter the drone threat, Gulf states and their US partners have turned to Ukrainian-made anti-drone technology, battle-tested against Russian drone attacks. In late March, Ukrainian President Volodymyr Zelenskyy visited Saudi Arabia, the UAE and Qatar to offer counter-drone expertise, signing 10-year defence agreements with all three countries. He later confirmed that Ukrainian forces took part in active operations using domestically produced interceptor drones, shooting down Iranian Shaheds in several Gulf countries. According to the Reuters news agency, the US military has also deployed Sky Map, a Ukrainian command-and-control platform used to detect incoming drones, at Prince Sultan Air Base in Saudi Arabia, with Ukrainian officers travelling to the base to train US warfighters on the software. In this visual explainer, Al Jazeera unpacks how Ukraine’s anti-drone systems work, what types of interceptors they use, and what types of drones they are being deployed against. The Shahed-136 is an Iranian one-way attack drone that came to global prominence after Russia began using it in Ukraine in 2022. The triangular-shaped aircraft is about 3.5 metres (11.5ft) long and has a 2.5-metre (8.2ft) wingspan. The key to these drones’ effectiveness lies in the numbers. Each drone costs between $20,000 and $50,000 – compared with the US Patriot interceptor missiles used to shoot them down, which cost about $4m each. Because it uses a simple piston engine, similar to a lawnmower, the drone is very loud. While this makes it easy to hear, its low altitude and small radar signature make it difficult for traditional automated systems to lock on until it is very close. The drones are GPS-guided and pre-programmed with coordinates to strike fixed targets, though newer variants incorporate anti-jamming technology after adversaries learned to disrupt their navigation. The word “Shahed” is of Arabic origin and means “witness”. While the word is originally Arabic, it is also fully integrated into the Persian language, Farsi, in which it carries the same meaning. The graphic below shows several types of Iranian drones, including their munitions, range and payload capacity. The design is so effective and replicable that several militaries have adopted it, including Iran’s original Shahed, Russia’s Geran‑2 and the US LUCAS (Low-cost Uncrewed Combat Attack System), while other countries have developed Shahed‑like loitering munitions and smaller strike drones inspired by that form factor. Interceptor drones are built to chase and shoot down attack drones before they’re able to hit their target. They are also capable of delivering a wide range of payloads and do not self-destruct, unlike one-way drones. Ukrainian interceptor drones range in price from about $1,000 to $3,000. Popular interceptor drones include: The Sting: This Ukrainian-made quadcopter is about the size of a large thermos or typically 30-45cm (12-18in) in length. It can reach speeds of up to 342 kilometres per hour (213 miles per hour), making it one of the fastest interceptors. It can cruise at an altitude of 3,000 metres (about 10,000ft) and relies on thermal imaging cameras to hit targets with its domed head carrying the camera system and explosive payload. It can return to base if a target is not located. P1-Sun: Similar in design to the Sting, it is a 3D-printed interceptor produced by the weapons company Skyfall, and can fly at up to 300km/h (186mph). ODIN Win_Hit: Developed by Ukrainian defence company ODIN, this is another bullet-shaped drone built for short-duration, high-intensity missions. It has a maximum speed of up to 300km/h (186mph) and can fly up to 5km (3.1 miles) for 7-10 minutes at a time. Octopus 100: This Ukrainian-designed interceptor is capable of flying at speeds of more than 300km/h (186mph) and has an altitude of up to 4.5km (2.8 miles). It is mass-produced in the United Kingdom. Bagnet: A high-speed interceptor drone launched in 2024 with a maximum speed of 250km/h (155mph). Bagnet is classified as a fast-response UAV interceptor and can strike loitering drones and reconnaissance targets. Merops: A US-developed, AI-guided, GPS-jam-resistant interceptor drone that has a higher development cost of about $15,000. VB140 Flamingo: Capable of operating at an altitude of up to 4.5km (2.8 miles) and over a range of up to 50km (31 miles). Sky Map is Ukraine’s command-and-control software platform, which can identify incoming drone attacks and counter them with its own anti-drone interceptors. Sky Fortress, the company behind Sky Map, was established in 2022 and is funded by Ukraine’s military. According to Reuters, the company placed more than 10,000 acoustic sensors around Ukraine so that they could detect incoming drone attacks. These sensors are essentially high-sensitivity microphones deployed across the country to listen for the distinct engine signatures of drones. Sky Map links acoustic sensors, radar and AI systems to detect threats and guide air defence systems. Each interceptor is operated by a trained pilot, tracking the drone’s camera feed in real time on a monitor or via first-person-view (FPV) goggles close to the area of engagement. The technology is becoming increasingly autonomous, with onboard sensors and AI-assisted inertial navigation systems which allow the drones to perform rapid, midair alterations, track moving targets and maintain accurate flight paths even if GPS signals are jammed. The graphic below summarises how the system works. According to the Defense Council of Ukraine, shooting down one Shahed with an interceptor drone is more than 25 times cheaper than using a Western-model air defence missile. Analysts have said the drones can counter a range of attacks but cannot intercept ballistic missiles. Last month, the Pentagon said it was committing $350m to its counter-drone unit with cameras, sensors and interceptors to provide support against drone attacks in the current conflict. Air defence systems currently used by the US struggle to eliminate barrages of one-way drone attacks, since they are too fast for these systems and often evade detection. In addition, the cost of air defences is often too high to be deployed against the quantity of drones coming in. Follow Al Jazeera English:",Al Jazeera,https://www.aljazeera.com/news/2026/5/4/what-is-the-ukrainian-anti-drone-system-sky-map-being-used-in-the-gulf
US Secret Service shoots gunman near White House,"By Al Jazeera Staff, Reuters and The Associated Press",Published On 5 May 20265 May 2026,News,"The suspect has been taken to hospital following the shooting in Washington The United States Secret Service said it returned fire at a gunman near the White House, wounding him and briefly triggering a lockdown. An investigation has been launched by the Washington DC Metropolitan Police Department following the shooting, which took place on Monday. The incident comes after an alleged assassination attempt on United States President Donald Trump at the White House correspondents’ dinner last month. Secret Service Deputy Director Matthew Quinn said the shooting occurred after plainclothes agents identified a “suspicious individual” they believed was carrying a firearm. Agents briefly followed the man and called for backup. When uniformed Secret Service officers arrived, the suspect attempted to flee and opened fire. Agents shot back, wounding the man, who was taken to hospital. A weapon was recovered from the suspect. A child was shot during the exchange, but his injuries were not life-threatening. It is not clear who shot the minor, but Quinn said investigators believe he was struck by the suspect. Quinn said the Secret Service will “find out” whether the gunman was targeting Trump. The Secret Service also said there was no evidence that the suspect intended to target US Vice President JD Vance’s motorcade, which passed through the area shortly before the incident. On April 25, Trump and First Lady Melania Trump were evacuated from the correspondents’ dinner after a gunman allegedly attempted to assassinate the president. The incident is considered the third assassination attempt against Trump since 2024. The suspect, Cole Tomas Allen, 31, is in custody and has been charged with attempting to kill Trump, discharging a firearm during a crime of violence, and illegally transporting guns and ammunition across state lines. He was arrested after allegedly firing a shotgun in the direction of the stairs leading to the ballroom. Investigators also accuse Allen of shooting a Secret Service agent, who was wearing a bulletproof vest. He has not yet entered a plea. Follow Al Jazeera English:",Al Jazeera,https://www.aljazeera.com/news/2026/5/5/us-secret-service-shoots-gunman-near-white-house
Map of dominance: Why Iran can’t afford to give up Hormuz control,By Federica Marsi,Published On 5 May 20265 May 2026,News,"The vital passageway for around a quarter of global seaborne oil trade is key for Tehran as it seeks to leverage in negotiations with Washington. A new map featuring two red lines stretching beyond the Strait of Hormuz has become the latest symbol of the escalating war of attrition between Iran and the US. Iran’s Revolutionary Guard Corps (IRGC) on Monday released a map marking an expanded maritime area of control to include lengthy sections of the United Arab Emirates’s coastline. In the west, a line stretches between the westernmost tip of Iran’s Qeshm Island to the UAE’s Umm al Quwain ‌emirate, while in the east, a second line joins Iran’s Mount Mobarak ⁠and the UAE’s Fujairah. The announcement came after US President Donald Trump launched a new effort to open the vital energy chokepoint – which has been largely closed since the US-Israel war on Iran began on February 28 – by sending the navy to escort stranded tankers through the strait, in a campaign dubbed “Project Freedom”. In a further escalation, the UAE on Monday reported drone and missile attacks, including one that caused a fire at a major energy hub in Fujairah, marking the first such incidents in a Gulf state since a US-Iran ceasefire on April 8. The UAE blamed Iran for the attacks. Though Tehran has not officially confirmed the strike, it appeared to acknowledge on Tuesday that it was behind the strikes, while saying that the US and its actions in the region were responsible. Iranian Parliament Speaker Mohammad Bagher Ghalibaf said in a social media post on Tuesday that “the continuation of the current situation is unbearable for the United States, while we have not even begun yet.” Behind the veneer of confidence, however, analysts say Iran is increasingly reliant on control of the Strait of Hormuz for vital leverage in its ongoing war with the US and Israel, formally only on pause under the ceasefire. And that leverage is not something Iran can afford to give up easily, they say. By disrupting maritime traffic in the Strait of Hormuz, a passageway for approximately a quarter of global seaborne oil trade and significant volumes of liquefied natural gas and fertilisers, Iran has been able to impose economic costs on the US, as well as the rest of the world. That, say experts, has given it negotiating heft as it tries to push back against US demands, such as Washington’s insistence that Tehran effectively end its nuclear programme. The resulting ripple effects have affected energy markets, maritime transport and global supply chains, as tanker traffic was brought down from an average of 129 in February to a virtual standstill. Mohammad Reza Farzanegan, professor of economics of the Middle East at Marburg University’s Center for Near and Middle Eastern Studies (CNMS), described Iran’s control of the Strait of Hormuz as a “strategic equaliser.” “It allows Iran to signal that pressure on Iran will not remain confined to Iran,” Farzanegan, who also serves as a research fellow at the Hamburg Institute for Advanced Study (HIAS), told Al Jazeera. “Iran cannot match US naval and air power symmetrically, but it has geography on its side,” he continued. “Hormuz is narrow, congested, and economically vital. In such a space, Iran does not need large-scale confrontation to impose costs. Mines, missiles, drones, fast boats, electronic disruption, and the threat of selective targeting can make transit risky even without a total closure.” In effect, Iran does not need to defeat the US Navy to change the economic calculus of war. “It only needs to make insurers, shippers, and energy traders understand that military pressure on Iran will carry costs for global markets. That uncertainty alone can raise oil and LNG prices, increase shipping costs, and transmit the conflict into inflation, food security, and financial markets,” Farzanegan said. Iran’s primary requirement to deter oil tankers or LNG carriers from transiting can be achieved with nearly any explosive projectile. Throughout the conflict, Iran has shown that it possesses a sophisticated arsenal that includes one-way attack drones, fast attack craft armed with antiship cruise missiles, rocket launchers, and even antitank guided missiles that could potentially be launched in large numbers, including from underground coastal facilities. But Iran’s disruptions come at a high cost. The US has imposed a naval blockade on all Iranian ports and shipping since April 13, limiting Iran’s ability to export oil, import essential goods and keep foreign-exchange inflows. Prices have surged, and millions of jobs have been lost or paused amid a near-total internet shutdown imposed by the authorities in Tehran. “Hormuz is probably Iran’s key leverage point at this stage, although it is a dangerous asset,” Farzanegan said. “It gives Iran bargaining power precisely because using it fully would damage everyone.” The fragile ceasefire between the US and Iran appeared under strain on Tuesday after the UAE accused Iran of attacking the country’s Fujairah oil refinery, which exports more than 1.7 million barrels per day of crude oil and refined fuels, about 1.7 percent of daily world demand. The attack on Monday came after the US military said two US merchant ships had made it through the strait with the support of Navy guided-missile destroyers. Iran denied any crossings, despite shipping company Maersk confirming that the US-flagged Alliance Fairfax had exited the Gulf under US military escort. Additionally, the US military claimed its forces in the region destroyed six small Iranian boats, which Tehran also denied. Instead, Iran claimed, the US had killed five civilians in its attacks on Iranian vessels. Muhanad Seloom, assistant professor of international politics and security at the Doha Institute for Graduate Studies, said the attack on Fujairah was a reminder that Iran does not need to directly attack US merchant ships in the Hormuz Strait — it could also strike Gulf states to keep up the economic pressure on the global markets. “'[Iran is] trying to tell GCC countries that if the US attacks us, we will destroy all your infrastructure’ and cause an economic crash,” Seloom told Al Jazeera, referring to Gulf Cooperation Council members, Saudi Arabia, UAE, Qatar, Kuwait, Oman and Bahrain. Over the course of the war, at least 6,413 missiles and drones were launched at seven Arab countries in the region, with the majority directed at the UAE. Abu Dhabi has deepened its strategic partnership with Israel – an ally of the US in its war against Iran – after normalising ties through the Abraham Accords in 2020. The UAE also quit the OPEC and OPEC+ oil cartels last month, which are effectively led by Saudi Arabia. According to Seloom, Iran is tapping into this regional dynamic. “The bigger question [now] is what does this mean for GCC countries and how long will they practise their strategic patience?” Seloom said, referring to the policy of restraint adopted so far. “At some point, they may see this as an existential threat,” he warned. Follow Al Jazeera English:",Al Jazeera,https://www.aljazeera.com/news/2026/5/5/map-of-dominance-why-iran-cant-afford-to-give-up-hormuz-control
Economy,Al Jazeera,Date non trouvée,Economy,"eBay confirms receiving GameStop’s offer, with no prior discussions between the companies Brent crude is largely unmoved by Trump’s announcement of the operation, dubbed ‘Project Freedom’. German chancellor says criticism of Donald Trump’s strategy in Iran unrelated to troop withdrawal announcement. Despite Houthi resistance and affordability challenges, Starlink fuels growth in Yemen’s digital workforce. K-pop sensations BTS ignited a wave of interest in South Korean culture that now extends from food to cosmetics. Ministry of Commerce says sanctions against refineries accused of importing Iranian oil violate international law. US State Department cites emergency circumstances to fast-track sales without the approval of Congress. The Cuban government has firmly rejected the recent sanctions levied by US President Donald Trump. New Supreme Leader Mojtaba Khamenei says the country must defeat its enemies in an economic and cultural struggle, as we UAE wants to supply more oil than its OPEC quota and that could help push down prices once the Strait of Hormuz opens. May Day events include calls to ‘tax the rich’ and abolish ICE amid $70bn proposed funding for immigration enforcement. Follow Al Jazeera English:",Al Jazeera,https://www.aljazeera.com/economy/
"Iran war updates: UAE intercepts missiles, drone sparks fire at oil site","By Heba Habib, Danai Nesta Kupemba, Mariamne Everett, Federica Marsi, Tamila Varshalomidze, Stephen Quillen, Edna Mohamed and Alex Milan Durie",Published On 4 May 20264 May 2026,News,"These were the updates on the US-Israel war on Iran and Israel’s attacks on Lebanon for Monday, May 4, 2026. Iran's war-hit economy sees mass layoffs and business closures This live page is now closed. You can continue to follow our coverage here. Follow Al Jazeera English:",Al Jazeera,https://www.aljazeera.com/news/liveblog/2026/5/4/iran-war-live-tehran-says-trumps-hormuz-mission-violates-ceasefire
What Modi’s big win in Indian state elections could mean for its democracy,By Nadim Asrar,Published On 5 May 20265 May 2026,News,"Modi’s BJP won the key state of West Bengal for the first time. But the vote has thrown up questions that won’t go away. For the first time in its 46-year history, Indian Prime Minister Narendra Modi’s Bharatiya Janata Party (BJP) has won the state of West Bengal, arguably the Hindu nationalist party’s most consequential victory since 2014, the year Modi first came to power. The legislative assembly elections were held on several dates in April in West Bengal, three other Indian states – Tamil Nadu, Assam and Kerala – as well as in the federally-governed territory of Puducherry. The BJP retained Assam for a third consecutive term, while the coalition it is a part of also returned to power in Puducherry. The southern state of Tamil Nadu saw the rise of yet another film star, following in the state’s long tradition of cine icons turning into mass political leaders. Actor Joseph Vijay broke the stranglehold of two long-dominant state parties with a fledgling political outfit and is poised to become the next chief minister. In neighbouring Kerala, a communist government lost to its traditional rival, an Indian National Congress-led alliance – a familiar election cycle in the state, which also marks the first time in 50 years that the left is not in control of any Indian state. But while each of these votes matters — and we’ll return to them — the West Bengal outcome represents the biggest takeaway from Monday’s verdict. Bengal is where the story of Indian colonialism began after the Battle of Plassey in the mid-18th century, when the British East India Company defeated the Nawab of Bengal, transforming from a trading firm into the sword arm of British imperialism in South Asia. Some 150 years later, the British partitioned Bengal in 1905 – the first major instance of division along religious lines in modern South Asia. By separating the largely Muslim eastern regions from the Hindu-majority western districts, Lord Curzon, the then British viceroy, established a template in which religious identity could be mapped onto a territory and then mobilised politically. Although annulled in 1911, the partition of Bengal catalysed a new political consciousness in the region that took various forms during the anticolonial movement, producing national figures of all hues, including several Hindu nationalist ideologues, the most prominent of them being Shyama Prasad Mukherjee, founder of the BJP’s precursor, the Bharatiya Jan Sangh. Mukherjee founded the Jan Sangh two years before his death in 1953 to advocate for a culturally united India. He opposed a special status granted to the Indian-administered Kashmir after India and Pakistan emerged as independent nations in 1947. Modi fulfilled Mukherjee’s dream by scrapping the disputed region’s partial autonomy weeks after coming into power for a second term in 2019. Addressing his party workers on Monday night, Modi said the West Bengal win “would bring peace to his [Mukherjee’s] soul”. But despite its history of religious cleavages, Bengal displayed a much more complex post-independence political trajectory. It elected a communist government in 1977, which remained in power for a record 34 consecutive years before the Trinamool Congress (TMC), a centrist party led by the now-outgoing Chief Minister Mamata Banerjee, brought it down in 2011. The state also remained relatively peaceful during some of the most tumultuous periods in modern India. In 1984, anti-Sikh riots erupted in many states following the assassination of Prime Minister Indira Gandhi by her Sikh bodyguards. An estimated 3,000 Sikhs were killed in the national capital, New Delhi. West Bengal remained peaceful. Eight years later, the state again remained a sanctuary from the nationwide bloodbath that erupted following the 1992 demolition of a Mughal-era mosque in Uttar Pradesh state by Hindu hardliners led by Modi’s party. Will that sense of communal exceptionalism and relative harmony that has long characterised West Bengal remain intact under a BJP government? That is one of the big questions emerging from the election results. West Bengal is home to nearly 100 million people, 27 percent of them Muslims. The BJP, riding on a combination of anti-incumbency sentiment against Banerjee and its own tried-and-tested anti-Muslim rhetoric, won a stunning 207 seats, reducing the TMC to 80 legislators in the 294-member assembly – a remarkable rise for a party that until a decade ago had just three seats. “The lotus has bloomed in West Bengal!” Modi posted on X on Monday afternoon, referring to the BJP’s election symbol, even as Election Commission of India (ECI) officials were still counting the votes. He called it a “historic victory”, which “will remain unforgettable”, promising a “politics of good governance” in the state. The ECI, an autonomous constitutional body led by government-appointed bureaucrats, has faced severe scrutiny and criticism since 2014, with opposition parties and electoral watchdogs accusing it of vote theft, fraud, manipulation, and, more recently, of a controversial revision of electoral rolls that denied some 2.7 million people their voting rights in West Bengal. The ECI denies the allegations, but an analysis of voter deletions in West Bengal by SABAR Institute, a Kolkata-based independent research organisation, showed that Muslims were disproportionately affected, mainly in districts where they constitute a high percentage of the population and could have swayed the election. According to political commentator Yogendra Yadav, the deletion of 2.7 million votes amounts to 4.3 percent of votes cast in West Bengal, in an election where the BJP’s lead over the TMC was about 5 percent. “The question is inescapable: If these 27 lakh [2.7 million] persons were allowed to vote, how would it have affected the outcome?” he asked in a column for the Indian Express newspaper on Tuesday, urging the opposition to stop legitimising “curated election results” that raise questions on the integrity of electoral processes. Banerjee, who stunningly lost her own seat, alleged the BJP “looted more than 100 seats”. “The Election Commission is the BJP’s commission,” she told reporters in Kolkata, the state capital, promising to “bounce back”. The BJP’s historic win in West Bengal follows a familiar election strategy, in which stirring up anti-Muslim sentiments is a central pillar. In their campaign speeches, its leaders, including Modi, accused Muslims of being “Bangladeshi infiltrators” as the party called for a Hindu consolidation to drive out the “illegal immigrants” from the state. As the BJP takes West Bengal, fears of a crackdown on allegedly “illegal” Muslim residents will be more pervasive. In a state famous for its roadside food stalls offering a wide range of fish and meat, including beef, delicacies, an insistence on and promotion of vegetarianism is difficult to rule out. BJP-led governments in several other states have tried to enforce rules around the sale and consumption of meat, especially beef. Only fish is likely to be an exception. A hardcore staple for both Hindus and Muslims, fish is not just a protein source in West Bengal; it is also an integral marker of Bengali culture, with marriages and even religious rituals performed with it. To ward off people’s fears about the BJP policing their food choices if it wins the election, many party leaders were seen campaigning with a fish in hand. Modi appeared to have such fears in mind when he thanked the people of West Bengal on Monday for electing the BJP. “Our double-engine government will ensure equal opportunities and respect for all sections of society,” Modi posted on X, using a media-coined term, implying a political and administrative continuity between New Delhi and the BJP-ruled states that, according to the party, accelerates the formulation and implementation of government policies and prioritises their development. But Modi has often promised to work for “all sections of society”. His successful 2014 election campaign was built on the slogan “Sabka Saath, Sabka Vikas”, which translates to “Support for all, development for all”. On the ground, though, it is a very different kind of “double-engine” government that the BJP has delivered in several states — and one, in neighbouring Assam in particular, offers a glimpse of what could await West Bengal. Assam and West Bengal share 263km (163-mile) and 2,216km (1,377-mile) borders, respectively, with Bangladesh, a Muslim-majority country that declared its independence from Pakistan – with India’s military help – in 1971. Long before colonial cartographers divided the subcontinent into its modern nation-states, people from present-day Bangladesh had been migrating to what is now Assam to work in its rice fields and tea estates. Today, one-third of Assam’s 31 million residents are Muslim, the largest percentage among Indian states, a majority of them having historically migrated to the northeastern state in waves. These Bengali-origin Muslims, pejoratively called “miyas”, have been the target of xenophobic campaigns for decades that the BJP has championed since coming to power in the state in 2016. With 102 seats in the 126-member Assam assembly, Chief Minister Himanta Biswa Sarma has returned with a larger majority than in 2021. The emphatic victory is likely to see a more hardline Sarma doubling down on his attacks on Muslims. The last five years saw him and his government demonising the community as “infiltrators”, evicting them from their lands and demolishing homes. A controversial gerrymandering exercise turned the state’s large Muslim voter base much less influential than it was previously. Of the 19 legislators from the opposition Congress who won in Assam, 18 are Muslim – a stark indication of the religious polarisation in the state. Sarma promised a more virulent crackdown in his campaign speeches this year, pledging to “break the backbones” of “illegal Bangladeshi Muslims”. He has committed to implementing a Uniform Civil Code, a polarising proposal that replaces religion-based personal laws. The BJP, in its manifesto, has also promised to pass laws related to the alleged forced religious conversion of people, and on the so-called “love jihad”, an unsubstantiated right-wing conspiracy theory that accuses Muslim men of entrapping Hindu women into marriages in order to convert them to Islam. The southern state of Tamil Nadu — one of India’s most developed — threw up a surprise. The state has a long history of film stars turning into politicians. Actor Vijay, who launched the Tamilaga Vettri Kazhagam (TVK) party only two years ago, trounced the ruling Dravida Munnetra Kazhagam (DMK)-led alliance by winning 108 seats in the 234-member assembly. Like West Bengal’s Banerjee, state Chief Minister MK Stalin also lost his seat – a shock defeat for a leader whose government is credited with making Tamil Nadu the fastest growing economy in India at an impressive rate of 11 percent. Vijay’s rise breaks a decades-long duopoly of Tamil Nadu’s two main Dravidian parties, which derive their names from a powerful movement against caste inequalities. The two Dravidian parties had also opposed attempts by north Indian-dominated parties to impose Hindi – and its accompanying so-called upper-caste Hindu values – on the non-Hindi speaking southern states. However, the 51-year-old actor is 10 seats short of a simple majority mark of 118 in the Tamil Nadu assembly and needs allies to form the government. According to media reports, the Congress and other regional parties are likely to join his government. In neighbouring Kerala, which boasts of developmental indices better than those of the United States, a familiar oscillation of power happened. The communist government led by Chief Minister Pinarayi Vijayan lost to an alliance led by the Congress, which won 101 of the 140 seats. Muslims, who, like West Bengal, form about 27 percent of the state’s population, won one-fourth of the seats, including a first-time female MLA from the Indian Union Muslim League (IUML). Despite trying for decades, Modi’s BJP has not been able to make a significant dent in Kerala and Tamil Nadu. But even in those two states, the BJP’s vote percentage continues to rise. The BJP, with Modi as prime minister, has long faced accusations of backing crony capitalism. However, the party denies those claims. What is indisputable, though, is that billionaires seen as being close to the prime minister have won rights to more and more land, forests and mines in recent years. With Monday’s results, the BJP’s consolidation of power has grown. The party now governs or is part of the governing coalition in 21 of the country’s 28 states. These states now make up nearly 80 percent of India’s 1.4 billion people – a phenomenon last seen in the 1960s when the Congress was at the peak of its power. Critics often call the BJP an “election machine”, with a total income of $712m, compared with nearly $96m for its closest national rival, the Congress, according to an assessment by the election watchdog Association of Democratic Reforms in 2025. “It’s a race between a Ferrari and a bicycle,” as writer and activist Arundhati Roy had once said. Now that the “machine” has delivered one of the most significant results in India’s recent electoral history, the state election results strengthen Modi midway through his third term. However, they also raise serious questions about whether India is turning more authoritarian. Is it moving towards one-party dominance? And will elections in the world’s most populous democracy be free and fair any more? Follow Al Jazeera English:",Al Jazeera,https://www.aljazeera.com/news/2026/5/5/what-modis-big-win-in-indian-state-elections-could-mean-for-its-democracy
